"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Eritrea","ERI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113188","","113963","114719","113515","112171","","94757","79780","73295","54694","38062","26122","16718","14872","26389","33622","43744","53274","50344","49017","66332","75309","88279","","115702","","",
"Spain","ESP","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","134504","116098","98210","","","","","27416","29150","","","","","","","","","23126","13562","10415","","6484","","","","","","","","","","","","","","","","","","","","","","","","18911","43541","","",
"Estonia","EST","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8115","5863","","","","","","","","854","674","523","","","","","","","381","742","1085","1235","1196","","",
"Ethiopia","ETH","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","2257608","2295837","2444625","","","","","3485383","3454478","3307403","","3047094","3019596","2901206","2763405","2733885","2811921","2811809","2273158","2109554","1833722","1493072","1613536","1788036","1500656","1415709","","880532","911879","","","","",
"European Union","EUU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","733685","734147","726211","754928","688769","665728","646113","646105","670560","685829","679915","728013","729219","803931","808546","833643","738013","676909","652966","672780","697014","749461","748664","689434","584513","541332","484818","437278","228835","233309","264016","249858","261115","275588","301152","218044","221589","210114","163205","181499","171584","165560","163776","160467","215253","195300","222718","251804","373598","",
"Fragile and conflict affected situations","FCS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","5517011","5652568","5671900","5547414","5828656","5862216","5776943","5872673","6021678","6050484","5942567","5817118","5996925","5906650","5969407","6129062","6218159","6583847","6799166","7098129","7641032","7265593","7527965","7731678","7718822","7503934","7952486","8362279","9006019","9634818","9458161","9129296","8886535","8548574","8326434","8197357","7854171","7837201","7101383","7094046","6989327","6922317","6797905","7107743","6937139","7088258","7151716","","7276353","",
"Finland","FIN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2446","2878","3463","3814","2666","747","","","","612","1809","3640","4597","5843","4427","3266","2915","2400","1846","901","1188","919","1118","1426","2287","","",
"Fiji","FJI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1968","","1796","2724","3763","3523","3117","3467","2992","1231","","649","","","","","","554","","","","811","","302","","","","",
"France","FRA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","66783","71028","","","","","15864","","26376","22636","","53922","102812","","106084","45629","","","","","","15330","42966","42454","19353","","2133","","64794","72517","73823","75192","79580","81089","","","","11188","19927","25514","8639","14744","17614","32595","12578","6482","","","",
"Faroe Islands","FRO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","684","1067","","","","",
"Gabon","GAB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8148","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","51658","74636","104029","120308","124313","123136","111602","107340","98775","59781","61448","82531","113647","116785","139607","102605","45269","10287","","","45340","78586","","","","","","","","","","5717","","15196","","13248","53680","20715","38076","33662","35227","32221","3478","","","6361","7128","","",
"Georgia","GEO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12984","3576","","","","","","","","","","","","2957","5307","","4206","1211","","427","","3577","","","",
"Ghana","GHA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","605029","489610","591960","538052","564741","","499234","487691","398499","304515","300154","","155835","","","","","","56903","84794","",
"Gibraltar","GIB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","596","626","","614","563","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
